gene	FF6wks	FF6wks	FF6wks	FMC6wks	FMC6wks	FMC6wks
Cabp5	0	0	0	0	0	1
Cabp7	8	14	2	11	9	9
Cabs1	7	0	0	0	2	0
Cabyr	17	6	2	9	5	6
Cacfd1	67	70	59	77	73	61
Cachd1	238	267	216	336	260	262
Cacna1a	567	375	249	353	382	294
Cacna1b	320	207	111	134	227	140
Cacna1c	406	337	262	276	334	274
Cacna1d	410	345	216	364	413	299
Cacna1e	627	427	280	412	453	431
Cacna1f	4	5	4	4	3	2
Cacna1g	310	335	208	333	341	275
Cacna1h	115	87	45	56	102	56
Cacna1i	175	77	58	45	81	41
Cacna1s	7	8	3	15	7	3
Cacna2d1	648	437	236	305	427	275
Cacna2d2	189	376	177	343	368	299
Cacna2d3	272	127	87	103	98	64
Cacna2d4	34	37	50	26	30	24
Cacnb1	198	142	95	105	105	102
Cacnb2	142	103	62	116	95	99
Cacnb3	328	189	135	100	129	106
Cacnb4	530	288	120	248	157	173
Cacng1	0	0	0	1	1	0
Cacng2	102	45	22	28	49	27
Cacng3	106	22	13	27	12	16
Cacng4	78	118	77	195	147	122
Cacng5	73	68	79	55	107	50
Cacng6	0	1	0	0	0	0
Cacng7	119	90	70	127	92	86
Cacng8	35	10	9	16	20	17
Cactin	142	199	147	191	140	171
Cacul1	447	520	424	561	514	458
Cacybp	419	535	402	467	512	450
Cad	145	118	84	150	134	102
Cadm1	652	668	405	625	581	544
Cadm2	758	397	203	620	393	387
Cadm3	398	224	155	174	204	166
Cadm4	670	764	511	1162	763	860
Cadps	783	561	366	567	580	491
Cadps2	193	248	107	213	157	190
Cage1	24	33	17	12	26	16
Calb1	301	243	124	120	270	222
Calb2	143	158	75	86	141	106
Calca	11	5	11	9	1	6
Calcb	1	1	0	0	0	1
Calcoco1	471	660	544	674	543	691
Calcoco2	7	4	4	3	5	2
Calcr	21	47	44	44	58	31
Calcrl	115	174	154	311	155	216
Cald1	1621	3393	2919	2504	2387	2381
Calhm1	2	1	1	3	0	0
Calhm2	40	74	59	72	55	52
Calm1	7467	5603	4447	4929	4907	4797
Calm2	4140	3697	2533	2989	2882	2923
Calm3	3711	3433	2711	3329	2668	2957
Calm4	1	0	2	0	0	2
Calm5	0	0	0	0	1	0
Calml3	0	0	0	1	0	0
Calml4	22	30	34	44	20	17
Caln1	64	21	10	30	26	30
Calr	5041	5431	6282	4888	4887	4729
Calr3	14	18	13	32	23	19
Calr4	7	17	13	5	9	10
Calu	1412	2250	2104	2299	1891	1935
Caly	365	363	280	200	388	260
Camk1	329	471	412	390	378	346
Camk1d	322	325	256	272	242	258
Camk1g	28	37	31	26	43	25
Camk2a	6891	597	300	239	459	288
Camk2b	799	394	275	284	394	254
Camk2d	439	394	395	504	443	313
Camk2g	702	721	458	857	737	681
Camk2n1	3679	709	589	817	595	597
Camk2n2	145	70	63	56	73	65
Camk4	567	102	61	96	112	64
Camkk1	98	48	42	88	65	64
Camkk2	284	56	40	80	72	60
Camkmt	36	51	34	46	32	42
Camkv	384	88	65	58	100	78
Caml	116	172	171	192	166	168
Camp	43	4	11	4	8	1
Camsap1	503	493	376	513	428	438
Camsap2	1470	1321	1054	1553	1373	1325
Camsap3	69	49	38	27	62	54
Camta1	899	776	517	588	775	569
Camta2	633	404	329	414	339	319
Cand1	787	922	782	1005	947	854
Cand2	87	135	103	133	168	102
Cant1	155	235	175	262	200	175
Canx	4966	6531	5318	6582	5916	5869
Cap1	1004	1242	976	1277	1100	1109
Cap2	346	160	139	206	195	169
Capg	34	75	50	61	38	37
Capn1	93	135	131	128	104	88
Capn10	63	79	78	86	78	69
Capn11	4	1	1	1	19	14
Capn12	4	2	1	7	4	2
Capn13	4	1	0	1	3	1
Capn2	1373	1951	1846	2822	2075	2189
Capn3	62	68	42	110	59	54
Capn5	192	198	196	244	180	152
Capn6	30	53	40	69	73	65
Capn7	308	508	384	527	420	415
Capn8	4	3	3	3	3	3
Capn9	4	1	1	2	2	2
Capns1	737	1258	1084	1269	1005	1067
Capns2	4	1	1	7	2	8
Caprin1	1654	2267	1890	2443	2137	2065
Caprin2	111	152	59	102	85	104
Caps2	0	12	2	16	4	10
Capsl	5	19	13	20	21	9
Capza1	352	663	603	728	683	598
Capza2	765	1015	778	1164	820	853
Capza3	0	0	0	0	0	0
Capzb	792	1308	1141	1208	893	1044
Car1	4	3	0	1	1	1
Car10	378	45	30	102	90	63
Car11	101	80	45	69	63	53
Car12	7	2	2	2	0	3
Car13	369	618	564	476	362	471
Car14	159	295	248	335	250	318
Car15	9	3	3	7	4	2
Car2	1261	1547	1104	1826	1278	1266
Car3	28	10	6	8	17	8
Car4	131	61	36	49	35	46
Car5a	5	7	7	5	6	0
Car5b	44	56	45	81	32	45
Car6	0	0	6	1	1	1
Car7	13	5	0	4	2	0
Car8	78	41	24	69	59	35
Car9	2	4	7	7	6	10
Card10	41	45	44	57	26	33
Card11	16	11	15	16	7	16
Card14	81	163	115	113	115	121
Card6	84	134	94	102	76	82
Card9	25	33	29	29	20	18
Carf	63	67	52	62	59	72
Carhsp1	752	801	734	858	633	608
Carkd	147	187	166	219	184	188
Carm1	158	190	178	192	192	159
Carns1	166	215	154	273	165	214
Cars	156	176	169	207	200	176
Cars2	42	36	32	44	28	52
Cartpt	11	21	12	14	29	13
Casc1	30	32	38	22	21	19
Casc3	323	403	275	381	344	343
Casc4	1186	1591	1204	2036	1614	1604
Casc5	45	18	55	43	45	20
Casd1	254	322	230	279	304	237
Cask	613	701	553	808	731	669
Caskin1	395	301	187	418	406	398
Caskin2	202	234	155	251	199	201
Casp1	22	26	19	37	26	22
Casp12	70	143	140	159	118	105
Casp14	0	2	0	3	1	0
Casp2	71	111	56	78	80	47
Casp3	56	83	53	78	65	54
Casp4	12	12	13	22	16	8
Casp6	37	57	71	61	58	40
Casp7	35	43	51	56	59	48
Casp8	93	148	122	152	96	114
Casp8ap2	357	376	249	312	313	258
Casp9	70	112	117	111	98	87
Casq1	16	32	10	35	8	22
Casq2	17	27	26	34	17	21
Casr	5	11	5	9	4	2
Cass4	10	12	13	13	13	13
Cast	212	320	428	308	241	317
Casz1	31	26	24	29	24	23
Cat	664	914	768	1178	891	948
Catsper1	0	0	2	2	0	1
Catsper2	17	16	22	34	27	22
Catsper3	5	3	5	2	1	1
Catsper4	1	3	2	3	1	1
Catsperb	1	4	1	6	1	2
Catsperd	5	4	12	8	8	12
Catsperg1	10	13	10	8	8	7
Catsperg2	3	3	0	3	1	5
Cav1	179	356	373	404	279	311
Cav2	182	318	301	368	297	276
Cav3	2	0	1	3	0	2
Cbfa2t2	253	278	235	262	239	213
Cbfa2t3	95	105	71	81	57	47
Cbfb	191	287	227	321	261	209
Cbl	387	338	348	451	321	332
Cblb	198	201	177	196	152	166
Cblc	1	2	0	1	1	2
Cbll1	106	142	105	115	98	79
Cbln1	18	14	10	9	30	12
Cbln2	46	29	20	27	27	7
Cbln3	29	18	12	18	29	22
Cbln4	23	9	4	11	23	5
Cbr1	114	147	154	173	165	153
Cbr2	51	98	101	46	74	50
Cbr3	14	19	13	29	21	31
Cbr4	44	70	53	66	55	52
Cbs	154	171	100	374	281	329
Cbwd1	89	111	93	115	93	89
Cbx1	165	181	163	194	162	182
Cbx2	20	16	14	25	20	12
Cbx3	454	646	437	680	531	519
Cbx4	185	240	179	260	167	170
Cbx5	1429	1775	1353	1747	1516	1501
Cbx6	696	605	488	586	518	451
Cbx7	133	192	117	162	127	168
Cbx8	25	52	20	20	23	17
Cby1	185	226	237	245	221	215
Cc2d1a	158	221	189	213	207	217
Cc2d1b	260	340	243	363	255	291
Cc2d2a	432	580	411	646	551	535
Ccar1	1073	1019	905	1110	945	969
Ccbe1	43	46	40	31	18	30
Ccbl1	37	63	31	72	64	32
Ccbl2	42	47	34	81	58	55
Ccbp2	19	3	8	3	3	7
Ccdc101	52	75	60	96	83	64
Ccdc102a	64	81	92	71	78	85
Ccdc103	14	18	15	6	14	9
Ccdc104	759	891	711	985	769	842
Ccdc105	3	5	1	4	6	1
Ccdc106	32	31	26	29	44	35
Ccdc107	64	107	75	68	55	63
Ccdc108	135	123	112	116	127	106
Ccdc109b	36	51	55	64	28	41
Ccdc11	32	31	22	31	14	14
Ccdc110	1	4	5	1	1	3
Ccdc111	50	65	51	84	67	49
Ccdc112	98	89	72	76	75	81
Ccdc113	43	76	48	47	53	40
Ccdc114	55	69	61	74	58	58
Ccdc115	69	93	98	80	86	110
Ccdc116	6	2	0	1	2	4
Ccdc117	129	159	143	189	142	159
Ccdc12	139	169	142	196	120	181
Ccdc120	15	19	20	20	23	15
Ccdc121	30	23	21	24	23	11
Ccdc122	56	98	88	88	75	70
Ccdc124	320	334	296	365	228	341
Ccdc125	19	25	16	27	12	26
Ccdc126	49	75	47	59	54	54
Ccdc127	313	332	265	303	249	253
Ccdc129	5	2	0	3	0	1
Ccdc13	59	64	53	71	53	76
Ccdc130	83	91	54	84	64	77
Ccdc132	307	349	267	361	341	351
Ccdc134	59	39	39	51	34	53
Ccdc135	80	81	85	67	58	59
Ccdc136	637	681	506	778	686	743
Ccdc137	166	172	152	158	124	157
Ccdc138	22	29	30	30	25	28
Ccdc14	19	35	24	34	29	34
Ccdc141	296	258	221	443	274	315
Ccdc142	30	25	19	33	22	19
Ccdc144b	0	0	0	0	1	1
Ccdc146	56	43	44	49	38	19
Ccdc147	9	16	8	6	6	7
Ccdc148	149	141	102	99	113	88
Ccdc149	136	119	128	97	105	109
Ccdc15	57	63	71	95	68	76
Ccdc150	8	7	5	9	9	4
Ccdc151	51	57	39	58	53	45
Ccdc152	12	14	6	17	8	14
Ccdc153	48	44	59	41	36	41
Ccdc154	1	4	1	2	0	1
Ccdc155	6	2	1	2	9	1
Ccdc157	139	185	142	193	176	144
Ccdc158	5	14	5	12	15	12
Ccdc159	33	29	31	40	26	28
Ccdc160	15	29	21	38	18	22
Ccdc162	42	39	37	37	45	42
Ccdc163	16	20	15	31	16	17
Ccdc164	85	87	81	95	70	80
Ccdc166	22	41	27	35	32	25
Ccdc167	160	190	137	224	145	165
Ccdc169	1	1	1	2	3	1
Ccdc17	16	17	16	30	16	11
Ccdc170	51	47	34	30	40	29
Ccdc171	68	107	61	126	71	81
Ccdc172	1	0	0	1	0	0
Ccdc173	73	70	58	75	61	66
Ccdc174	162	148	147	172	129	163
Ccdc175	7	4	2	1	5	4
Ccdc176	78	65	33	62	49	67
Ccdc177	49	21	19	17	24	18
Ccdc178	0	0	2	2	0	0
Ccdc18	31	27	21	27	27	27
Ccdc19	85	135	117	97	107	90
Ccdc22	90	67	65	89	70	82
Ccdc23	18	35	32	34	23	25
Ccdc24	12	19	8	24	10	13
Ccdc25	261	209	221	224	195	196
Ccdc27	12	6	3	3	4	5
Ccdc28a	46	35	26	36	48	37
Ccdc28b	125	131	136	133	138	141
Ccdc3	157	333	135	420	157	258
Ccdc30	131	143	83	109	150	112
Ccdc32	74	103	99	140	89	122
Ccdc33	17	10	9	15	18	2
Ccdc34	132	178	156	165	143	144
Ccdc36	7	1	5	5	8	6
Ccdc37	60	88	62	87	80	80
Ccdc38	2	11	4	12	5	11
Ccdc39	131	178	115	136	155	128
Ccdc40	84	114	89	71	99	83
Ccdc41	210	215	163	195	214	199
Ccdc42	3	0	0	0	0	0
Ccdc42b	6	25	17	6	11	14
Ccdc43	139	212	115	171	141	196
Ccdc47	1367	1932	1433	2016	1637	1716
Ccdc50	962	1058	1005	1013	861	792
Ccdc51	25	30	22	34	32	32
Ccdc53	47	121	75	101	61	68
Ccdc54	0	1	0	1	0	1
Ccdc55	367	403	331	417	380	352
Ccdc57	95	81	69	91	82	82
Ccdc58	35	50	25	32	32	36
Ccdc59	139	224	152	155	156	155
Ccdc6	292	398	328	425	426	318
Ccdc60	34	69	52	42	52	27
Ccdc61	32	65	23	64	34	41
Ccdc62	47	32	24	49	68	63
Ccdc63	3	3	2	4	1	1
Ccdc64	104	73	54	38	58	56
Ccdc64b	2	1	1	2	3	0
Ccdc65	47	59	52	50	48	45
Ccdc66	217	214	180	278	231	239
Ccdc67	9	5	9	5	19	6
Ccdc68	3	4	4	2	3	3
Ccdc69	8	13	13	10	10	10
Ccdc7	0	0	0	0	1	0
Ccdc70	0	0	0	0	0	0
Ccdc71	110	180	156	166	150	155
Ccdc71l	154	113	187	245	156	141
Ccdc73	24	36	19	39	33	36
Ccdc74a	97	152	111	102	95	96
Ccdc77	48	68	53	77	67	52
Ccdc78	20	26	7	22	16	12
Ccdc79	4	5	4	4	5	5
Ccdc8	77	128	121	95	105	108
Ccdc80	221	305	287	331	290	221
Ccdc81	47	60	43	23	54	43
Ccdc82	1923	1852	1282	2230	1739	1569
Ccdc83	2	0	1	3	0	0
Ccdc84	18	28	28	32	24	24
Ccdc85a	256	257	282	346	287	275
Ccdc85b	129	129	90	142	115	100
Ccdc85c	46	58	41	40	72	46
Ccdc86	41	62	38	66	36	55
Ccdc87	13	10	8	15	10	6
Ccdc88a	1494	1389	1053	1896	1618	1685
Ccdc88b	68	66	49	104	61	69
Ccdc88c	314	287	176	348	305	310
Ccdc89	11	20	24	36	25	19
Ccdc9	167	215	145	192	130	208
Ccdc90a	152	208	149	184	141	149
Ccdc90b	144	236	236	272	259	222
Ccdc91	508	728	508	714	612	667
Ccdc92	216	236	201	159	212	148
Ccdc93	310	420	324	495	389	396
Ccdc94	65	92	81	95	79	84
Ccdc96	69	106	69	81	74	69
Ccdc97	204	180	180	192	155	189
Ccer1	3	1	0	3	0	3
Cchcr1	32	67	39	52	33	60
Ccin	3	1	1	3	2	3
Cck	212	50	11	39	49	37
Cckar	1	7	6	4	14	3
Cckbr	25	12	23	13	17	6
Ccl1	0	0	0	0	0	0
Ccl11	1	1	0	3	1	2
Ccl12	8	19	28	71	53	41
Ccl17	5	0	2	0	0	0
Ccl19	16	32	23	26	11	14
Ccl2	12	8	13	29	9	17
Ccl20	0	0	0	0	0	1
Ccl21a	0	0	0	0	0	0
Ccl21b	0	0	0	0	0	0
Ccl21c	0	0	0	0	0	0
Ccl22	4	4	4	16	2	5
Ccl24	6	4	2	4	0	2
Ccl25	32	36	31	27	26	35
Ccl26	0	0	0	0	0	0
Ccl27a	54	21	14	29	25	19
Ccl27b	0	0	0	0	0	0
Ccl28	12	10	8	3	12	13
Ccl3	4	2	1	4	0	2
Ccl4	1	1	0	8	1	3
Ccl5	18	17	16	23	13	11
Ccl6	187	89	119	107	68	75
Ccl7	3	17	16	22	6	7
Ccl8	9	3	5	9	5	0
Ccl9	86	98	128	128	77	55
Ccm2	131	112	96	140	117	98
Ccm2l	7	7	14	11	6	6
Ccna1	1	2	2	4	0	0
Ccna2	30	12	36	35	26	7
Ccnb1	17	12	18	14	15	13
Ccnb1ip1	0	4	0	4	4	6
Ccnb2	7	11	17	24	20	9
Ccnb3	0	0	0	0	3	1
Ccnc	135	190	108	188	178	133
Ccnd1	309	489	378	524	341	359
Ccnd2	499	462	635	591	354	300
Ccnd3	237	412	462	404	383	355
Ccndbp1	183	297	215	272	205	230
Ccne1	29	11	22	12	11	16
Ccne2	13	21	16	17	21	17
Ccnf	13	11	16	24	8	14
Ccng1	730	936	844	1035	835	852
Ccng2	144	157	151	183	133	125
Ccnh	247	289	199	310	282	231
Ccni	901	1021	898	1025	900	875
Ccnj	31	39	24	38	35	22
Ccnjl	23	26	15	29	24	40
Ccnk	187	259	207	269	220	205
Ccnl1	316	356	288	346	260	284
Ccnl2	552	542	536	663	546	541
Ccno	9	3	3	3	2	1
Ccnt1	233	235	162	228	185	194
Ccnt2	336	342	275	388	331	325
Ccny	531	622	470	712	606	484
Ccnyl1	189	229	175	241	175	203
Ccp110	919	1096	653	999	915	844
Ccpg1	1758	2339	1826	2321	1952	2130
Ccr1	13	41	31	39	31	12
Ccr10	11	16	6	14	22	17
Ccr1l1	3	2	0	0	2	1
Ccr2	136	196	257	120	142	140
Ccr3	3	7	0	4	3	1
Ccr4	9	4	3	7	5	4
Ccr5	40	96	66	99	58	64
Ccr6	5	0	0	2	1	3
Ccr7	6	2	4	7	6	3
Ccr8	0	2	0	1	0	1
Ccr9	9	56	18	34	21	14
Ccrl1	5	8	10	22	9	15
Ccrl2	5	19	12	9	10	15
Ccrn4l	72	95	55	43	56	48
Ccs	38	61	59	76	71	68
Ccsap	145	61	46	82	52	44
Ccser1	140	152	80	140	125	131
Ccser2	791	856	750	1004	813	800
Cct2	715	928	865	1022	851	820
Cct3	453	650	507	653	570	567
Cct4	268	320	299	337	274	253
Cct5	907	1376	1153	1233	1215	1337
Cct6a	710	904	752	885	748	724
Cct6b	6	4	1	10	4	2
Cct7	704	956	837	916	913	886
Cct8	555	645	526	612	631	579
Cct8l1	1	2	0	0	5	1
Ccz1	337	373	330	397	330	298
Cd101	10	9	5	16	6	3
Cd109	409	439	644	483	446	397
Cd14	27	51	41	38	31	39
Cd151	262	444	426	441	385	343
Cd160	7	3	8	9	13	7
Cd163	347	417	420	392	275	223
Cd163l1	2	8	2	4	3	6
Cd164	714	1053	975	1103	965	807
Cd164l2	0	1	3	1	1	3
Cd177	23	10	20	6	5	4
Cd180	38	43	23	58	48	23
Cd19	3	2	4	17	7	5
Cd1d1	0	2	3	6	3	6
Cd1d2	2	2	1	0	2	0
Cd2	17	19	17	18	11	17
Cd200	179	341	236	268	284	287
Cd200r1	13	17	7	7	10	4
Cd200r2	0	1	0	0	0	0
Cd200r3	4	1	4	3	1	0
Cd200r4	0	1	1	2	3	3
Cd207	1	1	2	0	1	1
Cd209a	20	54	79	20	27	23
Cd209b	18	12	10	3	5	8
Cd209c	187	106	104	142	93	101
Cd209d	3	1	3	2	0	0
Cd209e	1	0	1	2	0	0
Cd209f	17	7	4	7	0	0
Cd209g	0	2	0	0	2	0
Cd22	10	13	7	28	6	18
Cd226	11	6	14	9	7	7
Cd244	26	10	13	15	10	13
Cd247	4	7	4	6	3	5
Cd248	174	389	297	349	335	236
Cd24a	369	476	292	300	243	168
Cd27	4	8	7	7	4	9
Cd274	27	45	15	57	43	30
Cd276	27	22	17	18	22	17
Cd28	7	2	2	3	10	3
Cd2ap	690	793	634	869	749	690
Cd2bp2	282	370	274	385	321	300
Cd300a	57	54	32	48	54	36
Cd300c	0	0	0	0	0	0
Cd300e	3	1	2	2	0	1
Cd300lb	4	4	7	2	6	1
Cd300ld	3	18	0	3	4	1
Cd300lf	18	7	11	12	18	16
Cd300lg	5	3	2	4	1	4
Cd300lh	2	6	6	5	2	1
Cd302	82	161	107	125	106	109
Cd320	35	44	49	62	40	52
Cd33	130	122	139	178	105	82
Cd34	107	151	109	156	165	130
Cd36	16	11	6	20	11	7
Cd37	8	19	25	37	16	12
Cd38	81	105	78	282	163	189
Cd3d	1	5	2	4	5	5
Cd3e	8	5	11	14	3	4
Cd3eap	109	118	102	93	99	124
Cd3g	5	9	3	11	1	4
Cd4	6	12	15	18	11	6
Cd40	6	11	9	16	6	12
Cd40lg	1	4	1	2	1	0
Cd44	345	404	436	533	380	345
Cd46	20	10	12	15	12	9
Cd47	433	384	400	479	418	327
Cd48	16	41	38	27	20	28
Cd5	1	2	4	4	5	5
Cd52	26	28	24	44	31	15
Cd53	84	108	92	149	93	97
Cd55	253	500	459	409	366	364
Cd59a	246	533	455	486	306	347
Cd59b	7	15	9	13	11	5
Cd5l	2	0	0	3	1	3
Cd6	18	3	1	1	1	5
Cd63	434	693	536	669	481	569
Cd68	84	157	101	94	79	90
Cd69	5	0	0	2	2	0
Cd7	4	4	3	2	5	1
Cd70	1	6	1	1	0	0
Cd72	18	13	17	46	20	28
Cd74	939	1343	1495	1007	904	732
Cd79a	8	11	15	24	7	8
Cd79b	3	3	0	11	3	7
Cd80	16	10	13	13	11	7
Cd81	1861	2571	2175	2983	2419	2064
Cd82	662	865	599	829	565	684
Cd83	71	148	114	109	105	72
Cd84	149	178	149	173	151	141
Cd86	35	57	45	87	44	39
Cd8a	1	9	7	17	3	5
Cd8b1	4	3	11	4	1	3
Cd9	580	800	719	894	765	684
Cd93	75	111	104	73	69	71
Cd96	2	1	3	7	3	1
Cd97	132	152	106	158	132	156
Cd99l2	424	582	463	487	412	439
Cda	0	4	8	8	6	12
Cdadc1	262	327	260	292	252	277
Cdan1	156	151	108	181	126	114
Cdc123	259	315	229	307	257	259
Cdc14a	244	313	275	318	294	255
Cdc14b	79	117	62	113	125	93
Cdc16	262	330	287	351	314	261
Cdc20	8	20	20	20	19	6
Cdc23	366	515	438	517	516	444
Cdc25a	42	70	56	64	40	46
Cdc25b	114	180	151	200	158	148
Cdc25c	1	0	4	2	3	2
Cdc26	92	148	87	149	86	112
Cdc27	540	659	517	682	554	546
Cdc34	92	100	100	94	75	62
Cdc37	944	1301	1096	1113	1013	1102
Cdc37l1	1056	1081	874	1286	891	1032
Cdc40	381	355	332	432	372	291
Cdc42	1055	1581	1187	1477	1182	1208
Cdc42bpa	2777	2236	1700	2649	1921	2039
Cdc42bpb	1144	1385	1030	1322	1144	1180
Cdc42bpg	83	139	109	130	120	109
Cdc42ep1	152	232	141	295	163	168
Cdc42ep2	65	74	61	102	55	48
Cdc42ep3	56	81	54	51	51	35
Cdc42ep4	277	566	416	625	530	442
Cdc42ep5	26	45	52	38	33	46
Cdc42se1	343	465	364	522	381	429
Cdc42se2	625	777	633	807	756	655
Cdc45	20	23	46	36	23	25
Cdc5l	466	581	490	540	510	529
Cdc6	8	7	13	16	12	6
Cdc7	55	44	36	42	66	41
Cdc73	316	384	280	393	307	339
Cdca2	13	15	20	21	21	7
Cdca3	19	17	22	21	19	13
Cdca4	27	24	29	30	27	18
Cdca5	5	0	6	4	5	1
Cdca7	17	13	13	32	7	13
Cdca7l	13	11	13	21	18	10
Cdca8	13	14	21	24	22	12
Cdcp1	0	5	6	0	4	1
Cdcp2	2	0	0	3	1	0
Cdh1	659	1563	1205	1423	1101	1039
Cdh10	205	211	101	277	220	199
Cdh11	505	692	522	809	669	612
Cdh12	111	28	18	14	40	15
Cdh13	111	138	98	146	136	105
Cdh15	3	3	2	1	0	1
Cdh16	4	2	2	4	3	2
Cdh17	2	2	1	2	2	1
Cdh18	68	61	32	33	66	42
Cdh19	275	330	218	358	264	244
Cdh2	796	876	607	1072	924	821
Cdh20	122	148	104	239	148	191
Cdh22	91	50	37	45	75	21
Cdh23	17	24	13	32	20	8
Cdh24	37	30	41	32	40	27
Cdh26	8	2	1	5	2	0
Cdh3	4	10	2	5	8	4
Cdh4	71	53	36	53	57	51
Cdh5	375	801	601	715	671	555
Cdh6	74	70	74	114	90	81
Cdh7	43	53	26	31	59	42
Cdh8	57	22	19	18	22	9
Cdh9	60	67	5	24	26	36
Cdhr1	37	37	19	18	25	18
Cdhr2	2	8	5	6	7	2
Cdhr3	40	17	23	26	26	15
Cdhr5	4	0	1	3	1	1
Cdip1	364	441	298	482	380	369
Cdipt	169	215	156	169	181	145
Cdk1	12	13	17	19	17	8
Cdk10	102	105	82	83	90	83
Cdk11b	880	968	740	903	771	880
Cdk12	492	452	362	481	417	326
Cdk13	564	531	467	610	520	496
Cdk14	438	298	277	330	287	265
Cdk15	4	0	0	1	0	3
Cdk16	560	463	388	472	453	415
Cdk17	369	347	229	389	289	268
Cdk18	178	213	116	328	173	200
Cdk19	600	679	433	817	515	598
Cdk2	37	61	54	59	44	46
Cdk20	29	34	30	28	28	21
Cdk2ap1	571	758	662	825	624	669
Cdk2ap2	54	49	46	50	48	47
Cdk3-ps	5	1	3	4	3	4
Cdk4	83	156	96	165	112	111
Cdk5	208	199	157	220	174	165
Cdk5r1	355	121	83	98	103	80
Cdk5r2	439	60	57	51	55	48
Cdk5rap1	71	63	62	64	56	43
Cdk5rap2	931	901	776	1375	1143	912
Cdk5rap3	153	217	194	230	242	250
Cdk6	30	33	14	30	28	14
Cdk7	257	263	205	285	266	222
Cdk8	108	173	135	185	123	119
Cdk9	272	265	229	278	234	227
Cdkal1	118	127	113	145	120	129
Cdkl1	18	22	12	14	20	10
Cdkl2	119	119	89	98	115	93
Cdkl3	80	75	52	71	84	81
Cdkl4	40	49	31	24	33	16
Cdkl5	230	163	111	150	166	145
Cdkn1a	176	69	102	115	68	66
Cdkn1b	263	358	268	326	294	304
Cdkn1c	167	388	305	300	264	280
Cdkn2a	1	1	3	2	0	2
Cdkn2aip	131	132	146	106	95	109
Cdkn2aipnl	115	118	96	128	97	103
Cdkn2b	7	31	8	7	6	11
Cdkn2c	15	22	13	23	10	23
Cdkn2d	70	75	51	50	45	59
Cdkn3	8	9	8	5	10	8
Cdnf	24	30	19	20	10	16
Cdo1	72	170	56	139	96	148
Cdon	157	133	180	207	141	116
Cdpf1	29	41	29	37	57	56
Cdr1	1017	192	185	322	245	254
Cdr2	401	392	264	464	287	397
Cdr2l	142	175	120	222	156	140
Cdrt4	6	6	2	6	1	2
Cds1	190	110	84	122	100	103
Cds2	1421	1573	1071	1347	1337	1196
Cdsn	1	6	4	1	2	2
Cdt1	6	9	13	10	9	10
Cdv3	476	664	480	699	617	629
Cdx1	0	0	0	0	0	0
Cdx2	0	1	2	0	1	0
Cdx4	0	1	0	0	0	0
Cdyl	91	106	94	123	109	82
Cdyl2	96	82	73	83	68	70
Ceacam-ps1	0	0	0	0	0	0
Ceacam1	71	66	38	65	29	71
Ceacam10	1	1	2	0	0	0
Ceacam11	0	0	0	0	0	0
Ceacam12	0	2	2	0	0	0
Ceacam13	0	0	0	0	0	1
Ceacam14	1	0	0	0	0	0
Ceacam15	0	0	0	0	0	1
Ceacam16	0	3	0	0	0	1
Ceacam18	6	1	2	5	1	5
Ceacam19	0	7	0	7	3	2
Ceacam2	8	12	4	5	6	9
Ceacam20	36	21	12	33	29	26
Ceacam3	4	0	1	3	1	1
Ceacam5	4	0	5	2	1	1
Ceacam9	0	0	2	1	0	0
Cebpa	87	167	171	168	185	154
Cebpb	85	101	105	103	95	85
Cebpd	302	209	235	282	197	203
Cebpe	1	0	3	0	2	1
Cebpg	333	351	325	410	381	328
Cebpz	325	408	348	415	433	373
Cecr2	100	123	79	183	132	153
Cecr5	44	47	32	66	44	40
Cecr6	30	18	12	13	19	10
Cel	0	4	2	1	1	0
Cela1	14	37	26	42	20	27
Cela2a	0	0	0	0	0	4
Cela3b	1	2	2	0	2	0
Celf1	669	671	559	559	565	492
Celf2	835	459	376	430	405	294
Celf3	119	95	59	87	120	79
Celf4	760	500	345	303	512	379
Celf5	426	230	145	146	254	174
Celf6	183	305	178	107	280	192
Celsr1	60	118	103	83	89	85
Celsr2	552	420	311	484	460	348
Celsr3	273	189	126	169	199	139
Cend1	428	331	215	371	297	323
Cenpa	4	6	13	17	8	10
Cenpb	910	1186	927	1229	859	1060
Cenpc1	202	216	207	267	209	232
Cenpe	83	64	112	117	77	65
Cenpf	129	100	199	196	141	90
Cenph	7	1	5	6	1	2
Cenpi	12	5	10	8	10	12
Cenpj	83	132	109	158	110	123
Cenpk	9	5	8	11	3	2
Cenpl	13	20	7	16	10	13
Cenpm	7	11	3	5	3	5
Cenpn	17	18	11	17	11	11
Cenpo	26	43	30	32	37	33
Cenpp	27	16	32	19	28	25
Cenpq	37	46	33	45	41	50
Cenpt	54	51	40	54	35	44
Cenpv	25	34	45	34	30	26
Cenpw	6	8	2	4	6	3
Cep104	217	287	217	293	263	254
Cep110	555	482	396	613	473	544
Cep112	105	178	83	140	130	134
Cep120	447	543	445	535	469	472
Cep128	136	185	130	172	155	164
Cep135	135	137	131	162	138	138
Cep152	79	88	53	94	77	58
Cep164	184	229	174	225	193	193
Cep170	1137	1289	891	1256	1160	1017
Cep170b	566	343	284	293	363	258
Cep19	170	178	170	170	160	170
Cep192	140	152	111	231	161	122
Cep250	606	663	392	793	511	669
Cep290	505	443	315	436	407	395
Cep350	1355	1208	1029	1583	1334	1280
Cep44	29	61	43	47	37	40
